3
fear,11
,Multiplier,Correct,Incorrect
ARNA,1.491102659785649,30,24
ARDS,0.1964467508902954,30,43
ARWR,-0.4817240517079824,29,23
DWAT,1.191981628279575,16,7
ARTNA,0.7181864508441576,23,31
AAME,0.9106382780131189,12,19
ATNI,0.9582646675296432,28,24
AUPH,4.321251547462225,28,18
AVCO,1.2024790901001516,22,26
ADAP,-0.1280654976750617,22,34
TXG,0.016657437037683853,11,22
fjkdsfjsakfdj,11
,Multiplier,Correct,Incorrect
ARNA,1.1342342639495135,6,4
ARDS,0.2829787693826703,4,8
ARWR,4.581192287018934,4,7
DWAT,0.8741683482326656,9,14
ARTNA,0.600548313088613,6,18
AAME,1.3133046883122093,8,9
ATNI,0.5123127767480422,4,12
AUPH,3.628224620252395,5,6
AVCO,1.2380953265622456,6,8
ADAP,1.0054494560418514,6,5
TXG,1.8478304166014166,4,2
BuyHighSellLow,11
,Multiplier,Correct,Incorrect
ARNA,0.8657657360504865,4,6
ARDS,1.7170212306173296,8,4
ARWR,-2.5811922870189337,7,4
DWAT,1.1258316517673344,13,10
ARTNA,1.3994516869113869,18,6
AAME,0.6866953116877907,8,9
ATNI,1.4876872232519578,12,4
AUPH,-1.6282246202523951,6,5
AVCO,0.7619046734377545,8,6
ADAP,0.9945505439581485,5,6
TXG,0.15216958339858344,2,4
