Symbol,Name
AUDUSD=X,AUD/USD
AUDCHF=X,AUD/CHF
AUDNZD=X,AUD/NZD
AUDEUR=X,AUD/EUR
AUDTWD=X,AUD/TWD
AUDMXN=X,AUD/MXN
AUDJPY=X,AUD/JPY
NZDJPY=X,NZD/JPY
EURXAF=X,EUR/XAF
EURPEN=X,EUR/PEN
EURBDT=X,EUR/BDT
CAD=X,USD/CAD
AZNUSD=X,AZN/USD
AZNCHF=X,AZN/CHF
AUDSCR=X,AUD/SCR
AUDMOP=X,AUD/MOP
AUDKRW=X,AUD/KRW
AUDHNL=X,AUD/HNL
AUDGIP=X,AUD/GIP
AUDGBP=X,AUD/GBP
AUDCZK=X,AUD/CZK
AUDCLP=X,AUD/CLP
AUDCAD=X,AUD/CAD
ARSKRW=X,ARS/KRW
ARSGBP=X,ARS/GBP
ALLGBP=X,ALL/GBP
AEDTWD=X,AED/TWD
AEDSEK=X,AED/SEK
AEDQAR=X,AED/QAR
AEDOMR=X,AED/OMR
AEDMXN=X,AED/MXN
AEDMAD=X,AED/MAD
AEDLTL=X,AED/LTL
AEDKWD=X,AED/KWD
AEDHKD=X,AED/HKD
AEDCNY=X,AED/CNY
AEDAUD=X,AED/AUD
AEDKRW=X,AED/KRW
AEDUSD=X,AED/USD
ARSCOP=X,ARS/COP
AUDRON=X,AUD/RON
ARSUSD=X,ARS/USD
AEDISK=X,AED/ISK
AEDLVL=X,AED/LVL
EURUYU=X,EUR/UYU
EUR-BDT.F,EUR-BDT.F
AEDPHP=X,AED/PHP
AEDCAD=X,AED/CAD
AUDBMD=X,AUD/BMD
ARSCLP=X,ARS/CLP
AWG=X,USD/AWG
AUDVEF=X,AUD/VEF
ANGEUR=X,ANG/EUR
AEDSGD=X,AED/SGD
AEDKES=X,AED/KES
AEDNZD=X,AED/NZD
ANGZAR=X,ANG/ZAR
EUR-TRY.F,EUR-TRY.F
ARSHKD=X,ARS/HKD
AUDMAD=X,AUD/MAD
AUDTND=X,AUD/TND
AUDMGA=X,AUD/MGA
AUD=X,USD/AUD
AUDILS=X,AUD/ILS
ARSMXN=X,ARS/MXN
AUDOMR=X,AUD/OMR
ARSVEF=X,ARS/VEF
AUDRUB=X,AUD/RUB
AUDLVL=X,AUD/LVL
AEDBHD=X,AED/BHD
EURJOD=X,EUR/JOD
ALLEUR=X,ALL/EUR
881347.VI,881347.VI
AUDBWP=X,AUD/BWP
AUDGHS=X,AUD/GHS
HF52.EX,HF52.EX
AUDCRC=X,AUD/CRC
ANGCHF=X,ANG/CHF
EUR-KZT.F,EUR-KZT.F
AUDIDR=X,AUD/IDR
AUDQAR=X,AUD/QAR
AFN=X,USD/AFN
EUR-PEN.F,EUR-PEN.F
AUDSYP=X,AUD/SYP
AEDCZK=X,AED/CZK
ARSPYG=X,ARS/PYG
AEDNOK=X,AED/NOK
AUDPLN=X,AUD/PLN
EUR-MUR.F,EUR-MUR.F
AUDINR=X,AUD/INR
AEDTND=X,AED/TND
AEDXDR=X,AED/XDR
AUDXCD=X,AUD/XCD
EUR-BWP.F,EUR-BWP.F
EUR-COP.F,EUR-COP.F
AUDTTD=X,AUD/TTD
AUDANG=X,AUD/ANG
AUDFJD=X,AUD/FJD
AEDPKR=X,AED/PKR
AUDEGP=X,AUD/EGP
ALLUSD=X,ALL/USD
AUDHKD=X,AUD/HKD
AUDKYD=X,AUD/KYD
AEDTRY=X,AED/TRY
AEDTHB=X,AED/THB
AEDRUB=X,AED/RUB
AUDBHD=X,AUD/BHD
AEDPLN=X,AED/PLN
EURKES=X,EUR/KES
AEDGBP=X,AED/GBP
AUDDOP=X,AUD/DOP
AUDSGD=X,AUD/SGD
EURBZD=X,EUR/BZD
EUR-HRK.F,EUR/HRK
EUR-LBP.F,EUR-LBP.F
AUDUYU=X,AUD/UYU
AUDMUR=X,AUD/MUR
EUR-KES.F,EUR-KES.F
AEDILS=X,AED/ILS
EURKZT=X,EUR/KZT
AUDERN=X,AUD/ERN
EURTRY=X,EUR/TRY
AUDLTL=X,AUD/LTL
ARSUYU=X,ARS/UYU
EURCOP=X,EUR/COP
AOAUSD=X,AOA/USD
AFNCHF=X,AFN/CHF
AUDCNH=X,AUD/CNH
ARSPEN=X,ARS/PEN
EUR-BMD.F,EUR-BMD.F
ARSCHF=X,ARS/CHF
AZN=X,USD/AZN
AUDAED=X,AUD/AED
AUDMYR=X,AUD/MYR
AUDNOK=X,AUD/NOK
EURBWP=X,EUR/BWP
AUDBZD=X,AUD/BZD
ARSBRL=X,ARS/BRL
ANGGBP=X,ANG/GBP
EUR-BOB.F,EUR-BOB.F
EUR-UYU.F,EUR-UYU.F
AUDSAR=X,AUD/SAR
AZNGBP=X,AZN/GBP
AUDLKR=X,AUD/LKR
AEDLKR=X,AED/LKR
AEDHUF=X,AED/HUF
