Symbol,Name
8TRA.ST,TRATON
AAK.ST,AAK
ABB.ST,ABB Ltd
ADDT-B.ST,Addtech B
AF-B.ST,ÅF Pöyry B
ALFA.ST,Alfa Laval
ALIV-SDB.ST,Autoliv SDB
AM1S.ST,Ahlstrom-Munksjö Oyj
ARION-SDB.ST,Arion Banki SDB
ARJO-B.ST,Arjo B
ASSA-B.ST,ASSA ABLOY B
ATCO-A.ST,Atlas Copco A
ATCO-B.ST,Atlas Copco B
ATRLJ-B.ST,Atrium Ljungberg B
ATT.ST,Attendo
AXFO.ST,Axfood
AZA.ST,Avanza Bank Holding
AZN.ST,AstraZeneca
BALD-B.ST,Fast. Balder B
BEIJ-B.ST,Beijer Ref B
BETS-B.ST,Betsson B
BILL.ST,BillerudKorsnäs
BOL.ST,Boliden
BONAV-A.ST,Bonava A
BONAV-B.ST,Bonava B
BRAV.ST,Bravida Holding
CAST.ST,Castellum
DOM.ST,Dometic Group
EKTA-B.ST,Elekta B
ELUX-A.ST,Electrolux A
ELUX-B.ST,Electrolux B
EPI-A.ST,Epiroc A
EPI-B.ST,Epiroc B
EPRO-A.ST,Electrolux Professional A
EPRO-B.ST,Electrolux Professional B
EQT.ST,EQT
ERIC-A.ST,Ericsson A
ERIC-B.ST,Ericsson B
ESSITY-A.ST,Essity A
ESSITY-B.ST,Essity B
EVO.ST,Evolution Gaming Group
FABG.ST,Fabege
FOI-B.ST,Fenix Outdoor International B
FPAR-A.ST,Fastpartner A
FPAR-D.ST,Fastpartner D
FPAR-PREF.ST,Fastpartner Pref
GETI-B.ST,Getinge B
HEXA-B.ST,Hexagon B
HM-B.ST,Hennes & Mauritz B
HOLM-A.ST,Holmen A
HOLM-B.ST,Holmen B
HPOL-B.ST,HEXPOL B
HUFV-A.ST,Hufvudstaden A
HUSQ-A.ST,Husqvarna A
HUSQ-B.ST,Husqvarna B
ICA.ST,ICA Gruppen
INDT.ST,Indutrade
INDU-A.ST,Industrivärden A
INDU-C.ST,Industrivärden C
INTRUM.ST,Intrum
INVE-A.ST,Investor A
INVE-B.ST,Investor B
JM.ST,JM
KIND-SDB.ST,Kindred Group
KINV-A.ST,Kinnevik A
KINV-B.ST,Kinnevik B
KLED.ST,Kungsleden
KLOV-A.ST,Klövern A
KLOV-B.ST,Klövern B
KLOV-PREF.ST,Klövern pref
LATO-B.ST,Latour B
LIFCO-B.ST,Lifco B
LOOM-B.ST,Loomis B
LUMI.ST,Lundin Mining Corporation
LUND-B.ST,Lundbergföretagen B
LUNE.ST,Lundin Energy
MCOV-B.ST,Medicover B
MTG-A.ST,Modern Times Group A
MTG-B.ST,Modern Times Group B
MYCR.ST,Mycronic
NCC-A.ST,NCC A
NCC-B.ST,NCC B
NDA-SE.ST,Nordea Bank Abp
NENT-A.ST,Nordic Entertainment Group A
NENT-B.ST,Nordic Entertainment Group B
NIBE-B.ST,NIBE Industrier B
NOBI.ST,Nobia
NOLA-B.ST,Nolato B
NYF.ST,Nyfosa
PEAB-B.ST,Peab B
PNDX-B.ST,Pandox B
RATO-A.ST,Ratos A
RATO-B.ST,Ratos B
RESURS.ST,Resurs Holding
SAAB-B.ST,SAAB B
SAGA-A.ST,Sagax A
SAGA-B.ST,Sagax B
SAGA-D.ST,Sagax D
SAGA-PREF.ST,Sagax pref
SAND.ST,Sandvik
SBB-B.ST,Samhällsbyggnadsbo. i Norden B
SBB-D.ST,Samhällsbyggnadsbo. i Norden D
SCA-A.ST,SCA A
SCA-B.ST,SCA B
SEB-A.ST,SEB A
SEB-C.ST,SEB C
SECU-B.ST,Securitas B
SHB-A.ST,Sv. Handelsbanken A
SHB-B.ST,Sv. Handelsbanken B
SKA-B.ST,Skanska B
SKF-A.ST,SKF A
SKF-B.ST,SKF B
SOBI.ST,Swedish Orphan Biovitrum
SSAB-A.ST,SSAB A
SSAB-B.ST,SSAB B
STE-A.ST,Stora Enso A
STE-R.ST,Stora Enso R
SWEC-A.ST,SWECO A
SWEC-B.ST,SWECO B
SWED-A.ST,Swedbank A
SWMA.ST,Swedish Match
TEL2-A.ST,Tele2 A
TEL2-B.ST,Tele2 B
TELIA.ST,Telia Company
THULE.ST,Thule Group
TIETOS.ST,TietoEVRY Oyj
TIGO-SDB.ST,Millicom Int. Cellular SDB
TREL-B.ST,Trelleborg B
VITR.ST,Vitrolife
VNE-SDB.ST,Veoneer SDB
VOLV-A.ST,Volvo A
VOLV-B.ST,Volvo B
WALL-B.ST,Wallenstam B
WIHL.ST,Wihlborgs Fastigheter
ACAD.ST,AcadeMedia
ADAPT.ST,Adapteo
ALIF-B.ST,AddLife B
ALIG.ST,Alimak Group
AMBEA.ST,Ambea
ANOD-B.ST,Addnode Group B
AOI.ST,Africa Oil
AQ.ST,AQ Group
ATORX.ST,Alligator Bioscience
BEIA-B.ST,Beijer Alma B
BERG-B.ST,Bergman & Beving B
BESQ.ST,Besqab
BETCO.ST,Better Collective
BHG.ST,BHG Group
BILI-A.ST,Bilia A
BIOA-B.ST,BioArctic B
BIOG-B.ST,BioGaia B
BIOT.ST,Biotage
BMAX.ST,Byggmax Group
BOOZT.ST,Boozt
BTS-B.ST,BTS Group B
BUFAB.ST,Bufab
BULTEN.ST,Bulten
BURE.ST,Bure Equity
CALTX.ST,Calliditas Therapeutics
CAMX.ST,Camurus
CAT-A.ST,Catella A
CAT-B.ST,Catella B
CATE.ST,Catena
CCC.ST,Cavotec
CEVI.ST,CellaVision
CLA-B.ST,Cloetta B
CLAS-B.ST,Clas Ohlson B
CLNK-B.ST,CELLINK B
COIC.ST,Concentric
COLL.ST,Collector
COOR.ST,Coor Service Management Hold.
CORE-A.ST,Corem Property Group A
CORE-B.ST,Corem Property Group B
CORE-PREF.ST,Corem Property Group Pref
CRED-A.ST,Creades A
CTM.ST,Catena Media
DIOS.ST,Diös Fastigheter
DUNI.ST,Duni
DUST.ST,Dustin Group
EAST.ST,Eastnine
ELAN-B.ST,Elanders B
ELTEL.ST,Eltel
ENEA.ST,Enea
ENG.ST,Internationella Engelska Skola
ENQ.ST,EnQuest PLC
EOLU-B.ST,Eolus Vind B
FAG.ST,Fagerhult
FING-B.ST,Fingerprint Cards B
FNM.ST,Ferronordic
G5EN.ST,G5 Entertainment
GARO.ST,Garo
GRNG.ST,Gränges
GUNN.ST,Gunnebo
HANDI.ST,Handicare Group
HEBA-B.ST,HEBA B
HIQ.ST,HiQ International
HLDX.ST,Haldex
HMS.ST,HMS Networks
HNSA.ST,Hansa Biopharma
HOFI.ST,Hoist Finance
HTRO.ST,Hexatronic Group
HUM.ST,Humana
IAR-B.ST,I.A.R Systems Group
IBT-B.ST,Infant Bacterial TherapeuticsB
IMMNOV.ST,Immunovia
INSTAL.ST,Instalco
INWI.ST,Inwido
IPCO.ST,International Petroleum Corp.
ITAB-B.ST,ITAB Shop Concept B
IVSO.ST,INVISIO
JOMA.ST,John Mattson Fastighetsföret.
JOSE.ST,Josemaria Resources
