Ticker,Name,Exchange
^OMX, OMX Stockholm 30 Index, STO
^OMXNORDICEURPI,OMX_Nordic_EUR_PI,STO
^FIRSTNORTHDKK,First North All-Share DKK,STO
^OMXNORDICDKKPI,OMX_Nordic_DKK_PI,STO
^OMXB10,OMX_Baltic_10,STO
^B9000GI,OMX Baltic Technology GI,STO
^B1700PI,OMX Baltic Basic Resources PI,STO
^B1300PI,OMX Baltic Chemicals PI,STO
^OMXBGI,OMX_Baltic_GI,STO
^OMRXMORT,OMRX Mortgage Bond Index,STO
^B3700PI,OMX Baltic Personal & Household,STO
^OMXBPI,OMX_Baltic_PI,STO
^OMXB10GI,OMX_Baltic_10_GI,STO
^OMXSSCGI,OMX_Stockholm_Small_Cap_GI,STO
^OMXNSCDKKGI,OMX_Nordic_Small_Cap_DKK_GI,STO
^FN9000GI,First North Technology GI,STO
^FN2000PI,First North Industrials PI,STO
^FN3000GI,First North Consumer Goods GI,STO
^HOXHOUSESWE,NASDAQ OMX Valueguard-KTH House,STO
^HOXHOUSESTO,NASDAQ OMX Valueguard-KTH House,STO
^HOXFLATMCSWE,NASDAQ OMX Valueguard Flats Med,STO
^NQCIHGER,^NQCIHGER,STO
^HOXFLATMLM,NASDAQ OMX Valueguard Flats Mal,STO
^OMXSPI,OMX Stockholm_PI,STO
^SX1770PI,OMX Stockholm Mining PI,STO
^SX2720GI,OMX Stockholm General Industria,STO
^SX2300PI,OMX Stockholm Construction & Ma,STO
^SX3350GI,OMX Stockholm Automobiles & Par,STO
^SX7530GI,OMX Stockholm Electricity GI,STO
^SX1750PI,OMX Stockholm Industrial Metals,STO
^SX3300PI,OMX Stockholm Automobiles & Par,STO
^OMXSBPI,OMX Stockholm Benchmark_PI,STO
^SX5750GI,OMX Stockholm Travel & Leisure,STO
^SX0530GI,OMX Stockholm Oil & Gas Produce,STO
^SX6530PI,OMX Stockholm Fixed Line Teleco,STO
^SX4000PI,OMX Stockholm Health Care PI,STO
^SX4570PI,OMX Stockholm Pharmaceuticals &,STO
^NOMXN120,NASDAQ OMX Nordic 120,STO
^N2700EURPI,N Industrial Goods & Services E,STO
^N1300EURGI,N Chemicals EUR GI,STO
^N5300EURPI,N Retail EUR PI,STO
^N8000EURPI,N Financials EUR PI,STO
^N7500EURPI,N Utilities EUR PI,STO
^OMX,OMX Stockholm 30 Index,STO
^OMXO20GI,OMX Oslo 20 GI,STO
^OMXETHICALNO,OMX GES Ethical Norway Index,STO
^OMXETHICALNC,OMX GES Ethical Nordic Index,STO
^OMRXBONDALL,OMRX Bond All Index,STO
^OMXSBSHARIA,^OMXSBSHARIA,STO
^OMRXBONDALLMUN,OMRX Bond All plus Muni Index,STO
^OMRXMORT5,OMRX Mortgage Bond 5- y Index,STO
^OMXS30ETHICPI,OMX GES OMXS30 Ethical Price In,STO
^OMXSUSTETHSEPI,OMX GES Sustainability Sweden E,STO
^OMXSUSTETHSEGI,OMX GES Sustainability Sweden E,STO
^SLSFI85,Skandia Livs Sv. Forvaltningsin,STO
^OMXS30NEXT,OMX Stockholm 30 Next_PI,STO
^OMXNLCEURPI,OMX_Nordic_Large_Cap_EUR_PI,STO
