Ticker,Name
ES=F,S&P Futures
YM=F,Dow Futures
NQ=F,Nasdaq Futures
RTY=F,Russell 2000 Futures
ZB=F,"U.S. Treasury Bond Futures,Sep-"
ZN=F,"10-Year T-Note Futures,Sep-2020"
ZF=F,Five-Year US Treasury Note Futu
ZT=F,"2-Year T-Note Futures,Sep-2020"
GC=F,Gold
ZG=F,Gold 100 oz. Apr 20
SI=F,Silver
ZI=F,Silver 5000 oz. May 20
PL=F,Platinum Jul 20
HG=F,Copper Jul 20
PA=F,Palladium Sep 20
CL=F,Crude Oil
HO=F,Heating Oil Jul 20
NG=F,Natural Gas Jul 20
RB=F,RBOB Gasoline Jul 20
BZ=F,Brent Crude Oil Last Day Financ
B0=F,Mont Belvieu LDH Propane (OPIS)
C=F,Corn Sep 20
O=F,Oats Sep 20
KW=F,"KC HRW Wheat Futures,Sep-2020,C"
RR=F,Rough Rice Sep 20
SM=F,Soybean Meal Aug 20
BO=F,Soybean Oil Aug 20
S=F,Soybeans Aug 20
FC=F,Feeder Cattle Aug 20
LH=F,Lean Hogs Jul 20
LC=F,Live Cattle Aug 20
CC=F,Cocoa Sep 20
KC=F,Coffee Sep 20
CT=F,Cotton Oct 20
LB=F,Lumber Sep 20
OJ=F,Orange Juice Sep 20
SB=F,Sugar #11 Oct 20
